Sample,GAG..µg.,GAG.µl.in.well,Papain.digest.volume,xvolume,Wet.Weight,GAG.mg,Average,Stdev.sqrt,Group
SH001(1) #3,11.8588442279063,1.18588442279063,122.59,145.377571389904,5.1,28.5054061548831,31.8318952791022,1.79663279090125,OA
SH002(1) #3,25.3146569224523,2.53146569224523,108.17,273.828643930166,4.5,60.8508097622592,66.0560685411739,2.86085050469627,OA
SH003(1) #3,13.8746551044541,1.38746551044541,144.23,200.114150571541,6,33.3523584285902,30.8280336856395,2.075619488972,OA
SH004(1) #3,17.0623145400593,1.70623145400593,156.25,266.598664688427,6.5,41.015179182835,45.9258703084034,2.58641312904498,OA
SH005(1) #3,20.8720930232558,2.08720930232558,153.8,321.012790697674,6.4,50.1582485465116,41.4728556803762,6.12569242368998,OA
SH006(1) #3,8.99870801033591,0.899870801033591,149,134.080749354005,6.2,21.6259273151621,30.9250512004007,5.08434253412593,OA
SH007(1) #3,15.8506429277943,1.58506429277943,197.1,312.416172106825,8.2,38.0995331837591,36.6404066180258,4.09437918776047,OA
SH008(1) #3 ,30.5436616063319,3.05436616063319,112.9,344.837939535487,4.7,73.3697743692526,62.8039704159095,7.84386729259222,OA
SH009(1) #3,15.0567815201962,1.50567815201962,293.2,441.464834172152,12.2,36.1856421452583,35.4574592054184,0.375562140879159,OA
SH011(1) #3,18.6818495514148,1.86818495514148,127.4,238.006763285024,5.3,44.9069364688725,56.8439241234165,5.97356134688067,OA
SH012(1) #3,16.7736369910283,1.67736369910283,133.048488612836,223.170705019668,3.3,67.6274863695964,80.8478298610246,7.90520520820273,OA
SH013(1)#3,17.0376055257099,1.70376055257099,146.6,249.771297006907,6.1,40.9461142634274,43.670796984733,5.11723660086617,OA
SH017(1) #3,7.39817123857024,0.739817123857024,88.94,65.7993349958437,3.7,17.7836040529307,20.4726270787909,1.76159650444898,OA
SH018(1) #3,12.1274195463722,1.21274195463722,112.98,137.015586034913,4.7,29.1522523478538,42.4389445290069,6.66450841328846,OA
SH019(1) #3,29.6312789454934,2.96312789454934,81.73,242.176442821518,3.4,71.2283655357405,54.7517281434602,9.52431327290944,OA
SH020(1) #3,37.4203605801816,3.74203605801816,38.46,143.918706791379,1.6,89.9491917446116,66.2792517275934,11.9969232404229,OA
SH023(1) #3,28.6188450631606,2.86188450631606,96.1,275.027101056973,4,68.7567752642434,59.195170300549,4.96435408740261,OA
SH024(1) #3,15.284222737819,1.5284222737819,105.76,161.645939675174,4.4,36.7377135625396,56.5689792551327,10.074365872135,OA
SH025(1) #3,41.7959941636822,4.17959941636822,93.75,391.837445284521,3.9,100.471139816544,74.6732283142875,14.1762278471992,OA
SH026(1) #3,30.2228412256267,3.02228412256267,88.9,268.681058495822,3.7,72.6165022961681,66.5039927886389,3.86135663872289,OA
SH028(1) #3,19.0620054668393,1.90620054668393,100.96,192.45000719321,7.70000000000005,24.9935074276894,36.413872037538,11.0093826721618,OA
SH029(1) #3,17.3462414578588,1.73462414578588,110.57,191.797391799544,4.6,41.695085173814,53.7348164085177,6.02268536276627,OA
SH031(1) #3,27.4737988294542,2.74737988294542,93.75,257.566864026133,3.9,66.0427856477264,64.6911838778757,2.30741757855131,OA
SH032(1) #3,33.246963562753,3.3246963562753,137.01,455.516647773279,5.7,79.9152013637332,79.7316058546657,8.33619721185317,OA
SH035(1) #3,36.5817675713292,3.65817675713292,103.3,377.88965901183,4.3,87.8813160492628,69.0417139518883,9.42073809384804,OA
SH037(1) #1,17.9568355119826,1.79568355119826,98.55,176.964613970588,4.1,43.1621009684361,40.9020859557689,1.13866299791149,OA
SH038(1) #3 ,24.2908427495292,2.42908427495292,105.76,256.899952919021,4.4,58.3863529361411,59.6307139559199,2.08935453408028,OA
SH039(1) #3,27.5129472693032,2.75129472693032,93.75,257.933880649717,3.9,66.1368924742865,62.7499568054351,2.70736778537912,OA
SH040(1) #3,28.1562216167121,2.81562216167121,81.73,230.120799273388,3.4,67.6825880215847,67.4689552563244,0.819543967562996,OA
SH041(1) #3,20.2352941176471,2.02352941176471,201.92,408.59105882353,8.4,48.6417927170869,41.4117751963531,3.61906688388579,OA
SH043(1) #3,18.4196078431372,1.84196078431372,108.17,199.244898039216,4.5,44.2766440087146,50.8940742752024,5.64441830701209,OA
SH046(1) #3 ,33.3045846572855,3.33045846572855,96.15,320.2235814798,4,80.0558953699501,81.1732635857863,5.45481364105545,OA
SH045(1) #3,34.2669087607808,3.42669087607808,120.19,411.853976395824,5,82.3707952791648,76.1299978849658,3.55320598660187,OA
SH047(1) #3,25.3786848072562,2.53786848072562,60.09,152.500517006803,2.5,61.0002068027211,46.4981443596967,12.1966488494326,OA
SH048(1) #3,38.2857142857143,3.82857142857143,62.5,239.285714285714,2.6,92.032967032967,90.4098438862724,4.19545473546893,OA
SH049(1) #3,14.4354403025392,1.44354403025392,50.48,72.8701026472178,2.1,34.7000488796275,50.1145157321818,8.71521681485156,OA
SH051(1) #3,30.5758157389635,3.05758157389635,67.31,205.805815738964,2.8,73.5020770496298,41.9511006119976,17.2906976322214,OA
SH052(1) #3,27.8119001919386,2.78119001919386,72.12,200.579424184261,3,66.8598080614203,67.1488486174127,10.2984057236628,OA
SH053(1) #3 ,39.6151872755259,3.96151872755259,45.7,181.041405849153,1.9,95.2849504469229,65.0078298367473,15.2392741841201,OA
SH054(1) #3,16.8763706140351,1.68763706140351,108.2,182.60233004386,4.5,40.5782955653022,50.7088864102306,5.81073992520361,OA
