Sample	AQP1	S100A1	TAGLN2	CPAMD8	IGFBP7	CTSZ	GPNMB	S100A4	COL1A1	CD74
SH063	1.13179528075047	1.82390966395379	1.90513324615044	0.850519320553497	3.30539862732971	0.261883121422732	0.861611185431791	0.471296705527086	3.90847417247612	0.539261799546375
SH064	0.059170195329746	6.66486991062439	0.52950515102838	3.1288746673936	1.03020212720371	0.09586405497469	0.074881013763711	0.199693479832381	0.152488203917965	0.086470052204541
SH065	0.548543810587781	2.27056213897621	1.77193339599426	1.26227439186767	1.79660272653743	0.123800338409279	0.317532207013695	0.35821800853744	3.37900794844911	0.066088054911519
SH066	0.963097055727887	4.5252891770281	1.46496492881323	1.2491128121029	2.82516638966943	0.168402228958269	0.679666868935541	0.394790109725622	2.3269128326587	0.256787806879797
SH067	0.177202367609645	8.35678804428892	0.558868941661357	5.31574874713246	0.65802174886537	0.121551683031761	0.116076726739124	0.155325051687037	0.18111826897441	0.054602877292655
SH068	0.459045575839356	5.21735723561915	0.888113969910079	2.36886075101349	1.2136564836645	0.144142881134415	0.746838512290798	0.258943299956792	1.8754011518802	0.379331568976671
SH069	0.14900351677596	9.59068085176074	0.576613832065576	4.26484519344614	0.76835388927436	0.099967377039118	0.177363270076949	0.107948370109774	0.183159880679322	0.144103724841054
SH067	0.177202367609645	8.35678804428892	0.558868941661357	5.31574874713246	0.65802174886537	0.121551683031761	0.116076726739124	0.155325051687037	0.18111826897441	0.054602877292655
SH068	0.459045575839356	5.21735723561915	0.888113969910079	2.36886075101349	1.2136564836645	0.144142881134415	0.746838512290798	0.258943299956792	1.8754011518802	0.379331568976671
SH069	0.14900351677596	9.59068085176074	0.576613832065576	4.26484519344614	0.76835388927436	0.099967377039118	0.177363270076949	0.107948370109774	0.183159880679322	0.144103724841054
SH070	0.510565815338987	3.80989625758959	1.09989634260545	3.04868286967786	3.51000994461391	0.172158860276045	0.275816595813089	0.268543897128239	1.46217795844647	0.066350256574712
SH071	0.089461075980987	9.50272894198741	0.533339695721944	3.98469418918381	1.35302101503514	0.168579692341137	0.042028909610581	0.074159482733879	0.026248314242879	0.049759250448783
SH074	0.177585546829331	2.51479783915131	1.22353849650812	2.60289382308232	1.90435973459795	0.190180732989506	0.24576336790071	0.264350064447912	1.26386967780464	0.151499881744371
SH075	0.358892324864798	4.28369939537394	0.852351894825407	0.933830773630405	2.72395320050232	0.147307475927125	0.233732860981815	0.273322071525648	1.68900929359592	0.169641117605557
SH076	0.457490425676527	5.7847547991857	1.19998024960473	3.32978376500948	0.853084300299152	0.237821101474541	0.347755085829968	0.221614598846502	0.964695504460942	0.125758656625568
SH077	1.25803771029608	3.55728727421505	1.75066684365248	2.07255038970363	2.64572304129762	0.281244618700502	0.699945591409796	0.296045747136029	2.44676535379541	0.409241569525489
SH078	0.03468286246851	8.39996912764978	0.362868922349338	2.88962038263532	0.518140565836633	0.074850594500028	0.026505138434013	0.0690335363291	0.094150658656419	0.016355491472781
SH079	0.114011360252496	8.44493254497145	0.57552118525591	1.8321056896193	0.965427435416202	0.098802232196492	0.078983709506877	0.185614847872463	0.360820959298799	0.022583711742521
SH080	0.134733783173149	3.39543004561812	0.552990748723998	1.97667120535713	1.07831995408752	0.082261599857852	0.099032114076474	0.058477742803182	0.13147169728251	0.068569577858945
SH081	0.138568949362355	3.00690193321163	0.819577145912207	0.819454173225737	1.21620610238185	0.079349981834042	0.071424652285197	0.197745457745089	0.26114818780901	0.017653007652234
SH082	0.256129866380357	8.08221360280313	1.49011061096141	3.06535376457136	0.620426300015667	0.191254226820091	0.06088810043944	0.147284854056726	0.754813695515232	0.172446871578701
SH084	0.207778284300884	7.40760540809352	0.671884626780261	2.43986448582294	1.41184913172027	0.16769934088489	0.182314471436277	0.15911579735541	0.632529830093108	0.2284721413488
SH085	0.454154077574559	5.02156286118669	1.18330476488035	2.88725849904005	1.0972636208322	0.145469453722039	0.260487856807443	0.195045795416533	0.54959989305541	0.070661619136865
