Sample,DNA..µg.,DNA.µl.in.well,Papain.digest.volume,xvolume,Weight..mg.,DNA.mg,Average,Stdev,Group
SH001(1) #3,0.156292874142517,0.015629287414252,122.59,1.91599434411312,5.1,0.375685165512376,0.381736485596263,0.018094326437164,OA
SH002(1) #3,0.25157496850063,0.025157496850063,108.17,2.72128643427131,4.5,0.604730318726959,0.572999807002267,0.023334705441823,OA
SH003(1) #3,0.236964445939883,0.023696444593988,144.23,3.41773820379094,6,0.569623033965156,0.640759127375379,0.07489411269922,OA
SH004(1) #3,0.140666390156228,0.014066639015623,156.25,2.19791234619107,6.5,0.338140360952472,0.321250246244953,0.035998730611714,OA
SH005(1) #3,0.103861648250461,0.010386164825046,153.8,1.59739215009208,6.4,0.249592523451888,0.244695181235767,0.057125465550457,OA
SH006(1) #3,0.081490273941068,0.008149027394107,149,1.21420508172192,6.2,0.195839529309987,0.202491015857395,0.006457112802841,OA
SH007(1) #3,0.159786451704144,0.015978645170414,197.1,3.14939096308867,8.2,0.38407206866935,0.353262953321078,0.029807535245771,OA
SH008(1) #3 ,0.180469903715518,0.018046990371552,112.9,2.03750521294819,4.7,0.433511747435786,0.394944927308218,0.040793748494338,OA
SH009(1) #3,0.101575522737242,0.010157552273724,293.2,2.97819432665594,12.2,0.244114289070159,0.302165855176779,0.047619629009675,OA
SH011(1) #3,0.219891369780551,0.021989136978055,127.4,2.80141605100421,5.3,0.52856906622721,0.50264347229583,0.050398247484869,OA
SH012(1) #3,0.28441689925026,0.028441689925026,133.048488612836,3.78412385811965,3.3,1.1467041994302,1.15362855421011,0.091233973926297,OA
SH013(1)#3,0.200229396484836,0.020022939648484,146.6,2.9353629524677,6.1,0.481207041388147,0.91496888056284,0.220472009918699,OA
SH017(1) #3,0.173703033791005,0.017370303379101,88.94,1.5449147825372,3.7,0.417544535820866,0.482505262387419,0.06795149524662,OA
SH018(1) #3,0.2669969031763,0.02669969031763,112.98,3.01653101208583,4.7,0.641815108954433,0.647551775758259,0.020038635156253,OA
SH019(1) #3,0.183634794047521,0.018363479404752,81.73,1.50084717175039,3.4,0.441425638750115,0.367412504162325,0.039896583816608,OA
SH020(1) #3,0.315824460085424,0.031582446008542,38.46,1.21466087348854,1.6,0.759163045930337,0.503598887819457,0.139322309389274,OA
SH023(1) #3,0.269815332091868,0.026981533209187,96.1,2.59292534140286,4,0.648231335350714,0.553538183554524,0.084131199965169,OA
SH024(1) #3,0.372531036623215,0.037253103662322,105.76,3.93988824332713,4.4,0.89542914621071,1.03749890104058,0.294561674440341,OA
SH025(1) #3,0.234646851575985,0.023464685157599,93.75,2.19981423352486,3.9,0.564054931673042,0.609585818650563,0.023064079894727,OA
SH026(1) #3,0.210459672270696,0.02104596722707,88.9,1.87098648648649,3.7,0.505672023374726,0.429299845603289,0.038580492539789,OA
SH028(1) #3,0.242644722908577,0.024264472290858,100.96,2.449741122485,7.70000000000005,0.318148197725323,0.383813874265392,0.100072771876166,OA
SH029(1) #3,0.193725668847842,0.019372566884784,110.57,2.14202472045059,4.6,0.465657547924042,0.402145281734114,0.041124736648565,OA
SH031(1) #3,0.202425761666024,0.020242576166602,93.75,1.89774151561897,3.9,0.48660038862025,0.484609545611435,0.040318502880764,OA
SH032(1) #3,0.224127846,0.0224127846,137.01,3.070775618046,5.7,0.538732564569474,0.482741078241392,0.102754978046671,OA
SH035(1) #3,0.29266701921382,0.029266701921382,103.3,3.02325030847876,4.3,0.703081467088084,0.749733566628894,0.131893298093298,OA
