Sample,DNA..µg.,DNA.µl.in.well,Papain.digest.volume,xvolume,Weight..mg.,DNA.mg,Average,Stdev,Group
SH081(1) #3,0.174142021515932,0.017414202151593,134.6,2.34395160960445,5.6,0.418562787429366,0.572696726482718,0.077617467000447,OA
SH082(1) #3,0.25640103708052,0.025640103708052,110.6,2.83579547011056,4.6,0.61647727611099,0.612507522044293,0.026666889424352,OA
MRI001(1) #3,0.350372547273429,0.035037254727343,105.76,3.70554005996378,4.4,0.842168195446314,0.826068424265225,0.042234213972383,NonOA
MRI002(1) #3,0.275668528203764,0.027566852820377,48,1.32320893537807,4.4,0.300729303495016,0.310275977190761,0.063267985572643,NonOA
MRI003(1) #3,0.315647513617993,0.031564751361799,74.52,2.35220527148129,3.1,0.758775894026221,0.823312483653695,0.05721671324222,NonOA
MRI004(1) #3,0.41104694092827,0.041104694092827,125,5.13808676160338,5.2,0.988093608000649,0.906845030307431,0.040772156054568,NonOA
MRI005(1) #3,0.265243902439025,0.026524390243903,40.87,1.08405182926829,1.7,0.637677546628408,0.642469967223913,0.112933502259124,NonOA
RJ001(1) #3,0.334532138619533,0.033453213861953,108.17,3.61863414344749,4.5,0.804140920766108,0.778652760341029,0.065195032749217,NonOA
MRI006(1) #3,0.381551724137931,0.038155172413793,91.3,3.48356724137931,4.6,0.757297226386807,0.684096473291132,0.045602777695436,NonOA
MRI007(1) #3,0.354056806002144,0.035405680600214,96.2,3.40602647374062,4,0.851506618435156,0.750208691929158,0.078767174036514,NonOA
MRI008(1) #3,0.22150202323941,0.022150202323941,137,3.03457771837992,5.7,0.532382055856127,0.639106366674173,0.115577573709942,NonOA
MRI009(1) #3,0.235442462796774,0.023544246279677,110.6,2.60399363853232,4.6,0.566085573593982,0.562107895105547,0.097230131257704,NonOA
