Sample,DNA (µg),DNA/µl in well,Papain digest volume,xvolume,Weight (mg) ,DNA/mg,Average,Stdev
SH011(1) #3,0.219891369780551,0.021989136978055,127.4,2.80141605100421,5.3,0.52856906622721,0.50264347229583,0.050398247484869
SH011(2) #1,0.218447983363432,0.021844798336343,105.76,2.31030587205166,4.4,0.525069516375377,,
SH011(2) #2,0.181863952279319,0.018186395227932,168.26,3.06004286105183,7,0.437148980150261,,
SH011(2) #3,0.183671263612981,0.018367126361298,137.01,2.51647998276145,5.7,0.441487716273939,0.467902070933192,0.028611150341412
SH012(1) #1,0.228005800908444,0.022800580090845,210.3488957902,4.79607684548514,4.8,0.999182676142738,,
SH012(1) #2,0.275264050785312,0.027526405078531,152.871256038647,4.20799611858366,3.2,1.31499878705739,,
SH012(1) #3,0.28441689925026,0.028441689925026,133.048488612836,3.78412385811965,3.3,1.1467041994302,1.15362855421011,0.091233973926297
SH012(2) #1,0.250820883270399,0.02508208832704,162.106942719117,4.06598065570728,4.4,0.924086512660745,,
SH012(2) #2,0.273978000328353,0.027397800032835,112.965838509317,3.09501545401983,3.9,0.79359370615893,,
SH012(2) #3,0.249711322716576,0.024971132271658,95.9885714285714,2.39694331371031,1.7,1.40996665512371,1.04254895798113,0.187531256299094
SH013(1)#1,0.442303410585973,0.044230341058597,189.9,8.39934176702763,7.9,1.06320781861109,,
SH013(1)#2,0.499404581182742,0.049940458118274,125,6.24255726478427,5.2,1.20049178168928,,
SH013(1)#3,0.200229396484836,0.020022939648484,146.6,2.9353629524677,6.1,0.481207041388147,0.91496888056284,0.220472009918699
SH013(2) #1,0.207566710521877,0.020756671052188,177.8,3.69053611307897,7.4,0.498721096362023,,
SH013(2) #2,0.687998853017576,0.068799885301758,103.36,7.11115614478966,4.3,1.65375724297434,,
SH013(2) #3,0.326480113348851,0.032648011334885,132.21,4.31639357858516,5.5,0.78479883247003,0.979092390602131,0.347294118888674
SH017(1) #1,0.171362602428129,0.017136260242813,122.5,2.09919187974458,5.1,0.41160625093031,,
SH017(1) #2,0.257250130176217,0.025725013017622,134.61,3.46284400230206,5.6,0.618365000411083,,
SH017(1) #3,0.173703033791005,0.017370303379101,88.94,1.5449147825372,3.7,0.417544535820866,0.482505262387419,0.06795149524662
SH017(2) #1,0.149664282386473,0.014966428238647,139.42,2.0866194250322,5.8,0.359761969833138,,
SH017(2) #2,0.158386088958316,0.015838608895832,194.71,3.08393553810737,8.1,0.380732782482392,,
SH017(2) #3,0.123039135081806,0.012303913508181,122.59,1.50833675696785,5.1,0.295752305287814,0.345415685867781,0.025558966292123
SH018(1) #1,0.256289566718737,0.025628956671874,170.67,4.37409403518869,7.1,0.616069582420942,,
SH018(1) #2,0.284885856011401,0.02848858560114,72.11,2.05431190769821,3,0.684770635899403,,
SH018(1) #3,0.2669969031763,0.02669969031763,112.98,3.01653101208583,4.7,0.641815108954433,0.647551775758259,0.020038635156253
SH018(2) #1,0.185318863219052,0.018531886321905,129.8,2.4054388445833,5.4,0.445451637885796,,
SH018(2) #2,0.199593028035847,0.019959302803585,93.75,1.87118463783606,3.9,0.479790932778478,,
SH018(2) #3,0.209752254103977,0.020975225410398,96.15,2.01676792320973,4,0.504191980802434,0.476478183822236,0.017037582973399
SH019(1) #1,0.148198087094741,0.014819808709474,122.59,1.81676034969443,5.1,0.356227519547927,,
SH019(1) #2,0.12671215982899,0.012671215982899,76.92,0.974669933404588,3.2,0.304584354188934,,
SH019(1) #3,0.183634794047521,0.018363479404752,81.73,1.50084717175039,3.4,0.441425638750115,0.367412504162325,0.039896583816608
SH019(2) #1,0.172430047411549,0.017243004741155,100.96,1.740853758667,4.2,0.414488990158808,,
SH019(2) #2,0.209549453259886,0.020954945325989,79.32,1.66214626325742,3.3,0.503680685835582,,
SH019(2) #3,0.232655046726411,0.023265504672641,100.96,2.34888535174984,4.2,0.559258417083296,0.492476031025895,0.042165171093626
SH020(1) #1,0.116337303735788,0.011633730373579,132.21,1.53809549269085,5.5,0.279653725943791,,
SH020(1) #2,0.196358960476448,0.019635896047645,98.55,1.9351175554954,4.1,0.471979891584243,,
SH020(1) #3,0.315824460085424,0.031582446008542,38.46,1.21466087348854,1.6,0.759163045930337,0.503598887819457,0.139322309389274
SH020(2) #1,0.136881128556819,0.013688112855682,137.01,1.87540834235698,5.7,0.329019007431048,,
SH020(2) #2,0.294221861276544,0.029422186127655,182.21,5.36101653431992,7.58,0.707258117984158,,
SH020(2) #3,0.19255850327859,0.019255850327859,192.3,3.70290001804729,8,0.462862502255911,0.499713209223706,0.110731939296395
SH023(1) #1,0.160479515828678,0.016047951582868,98.55,1.58152562849162,4.1,0.385737958168687,,
SH023(1) #2,0.260699875853507,0.026069987585351,64.9,1.69194219428926,2.7,0.626645257144171,,
SH023(1) #3,0.269815332091868,0.026981533209187,96.1,2.59292534140286,4,0.648231335350714,0.553538183554524,0.084131199965169
SH023(2) #1,0.128344196151459,0.012834419615146,204.32,2.6223286157666,8.5,0.308509248913718,,
SH023(2) #2,0.130515207945375,0.013051520794538,88.94,1.16080225946617,3.7,0.313730340396262,,
SH023(2) #3,0.192965549348231,0.019296554934823,127.4,2.45838109869646,5.3,0.463845490320087,0.362028359876689,0.050930871410384
SH024(1) #1,0.255190875232774,0.025519087523278,117.78,3.00563812849162,4.9,0.613395536426861,,
SH024(1) #2,0.667127560521416,0.066712756052142,62.5,4.16954725325885,2.6,1.60367202048417,,
SH024(1) #3,0.372531036623215,0.037253103662322,105.76,3.93988824332713,4.4,0.89542914621071,1.03749890104058,0.294561674440341
SH024(2) #1,0.29780260707635,0.029780260707635,88.94,2.64865638733706,3.7,0.715853077658664,,
SH024(2) #2,0.270765052762259,0.027076505276226,98.55,2.66838959497207,4.1,0.650826730480992,,
SH024(2) #3,0.284450651769087,0.028445065176909,86.53,2.46135148975791,3.6,0.683708747154976,0.683462851764877,0.018771892154894
SH025(1) #1,0.265744484642122,0.026574448464212,98.55,2.61891189614812,4.1,0.638758999060516,,
SH025(1) #2,0.260402922607647,0.026040292260765,115.38,3.00452892104703,4.8,0.625943525218132,,
SH025(1) #3,0.234646851575985,0.023464685157599,93.75,2.19981423352486,3.9,0.564054931673042,0.609585818650563,0.023064079894727
SH025(2) #1,0.175784445863186,0.017578444586319,110.57,1.94364861790925,4.6,0.422532308241141,,
SH025(2) #2,0.151802984086449,0.015180298408645,149.03,2.26231987184034,6.2,0.364890301909733,,
SH025(2) #3,0.127261119387104,0.01272611193871,122.5,1.55894871249202,5.1,0.30567621813569,0.364366276095521,0.033734465071466
SH026(1) #1,0.158809202903691,0.015880920290369,86.5,1.37369960511693,3.6,0.381583223643591,,
SH026(1) #2,0.166787259700645,0.016678725970065,112.9,1.88302816202029,4.7,0.400644289791551,,
SH026(1) #3,0.210459672270696,0.02104596722707,88.9,1.87098648648649,3.7,0.505672023374726,0.429299845603289,0.038580492539789
SH026(2) #1,0.144212716653662,0.014421271665366,132.21,1.90663632687806,5.5,0.346661150341465,,
SH026(2) #2,0.158015889905654,0.015801588990565,163.46,2.58292773639781,6.8,0.379842314176149,,
SH026(2) #3,0.164766735239176,0.016476673523918,134.61,2.21792502305455,5.6,0.39605803983117,0.374187168116262,0.014537293197538
SH028(1) #1,0.20846423108601,0.020846423108601,122.5,2.55368683080362,4.39999999999986,0.580383370637205,,
SH028(1) #2,0.239904694669961,0.023990469466996,60.09,1.4415873102718,5.70000000000005,0.252910054433647,,
SH028(1) #3,0.242644722908577,0.024264472290858,100.96,2.449741122485,7.70000000000005,0.318148197725323,0.383813874265392,0.100072771876166
SH028(2) #1,0.095477409106954,0.009547740910695,120.19,1.14754298005648,13.7,0.083762261317991,,
SH028(2) #2,0.070283268619838,0.007028326861984,129.8,0.912276826685492,11.6,0.078644554024611,,
SH028(2) #3,0.130282974467584,0.013028297446759,115.38,1.50320495940699,9.29999999999995,0.16163494187172,0.108013919071441,0.026851184310295
SH029(1) #1,0.135263259615119,0.013526325961512,91.34,1.2354946133245,3.8,0.325130161401184,,
SH029(1) #2,0.172946519782435,0.017294651978244,72.1,1.24694440763135,3,0.415648135877118,,
SH029(1) #3,0.193725668847842,0.019372566884784,110.57,2.14202472045059,4.6,0.465657547924042,0.402145281734114,0.041124736648565
SH029(2) #1,0.299054363731743,0.029905436373174,137.01,4.09734383748861,5.7,0.718832252190984,,
SH029(2) #2,0.298920456114194,0.029892045611419,129.8,3.87998752036224,5.4,0.718516207474489,,
SH029(2) #3,0.273319252326127,0.027331925232613,146.63,4.007680196858,6.1,0.656996753583279,0.698115071082917,0.020559361181438
SH031(1) #1,0.230327805630544,0.023032780563054,86.5,1.9923355187042,3.6,0.55342653297339,,
SH031(1) #2,0.172212366628101,0.01722123666281,84.1,1.44830600334233,3.5,0.413801715240666,,
SH031(1) #3,0.202425761666024,0.020242576166602,93.75,1.89774151561897,3.9,0.48660038862025,0.484609545611435,0.040318502880764
SH031(2) #1,0.169062861550328,0.016906286155033,146.63,2.47896873891246,6.1,0.406388317854501,,
SH031(2) #2,0.268463812829412,0.026846381282941,129.8,3.48466029052577,5.4,0.645307461208477,,
SH031(2) #3,0.271442344774393,0.027144234477439,122.59,3.32761170458928,5.1,0.6524728832528,0.568056220771926,0.080860412529982
SH032(1) #1,0.260425806,0.0260425806,168.26,4.381924611756,7,0.625989230250857,,
SH032(1) #2,0.117936599,0.0117936599,93.75,1.105655615625,3.9,0.283501439903846,,
SH032(1) #3,0.224127846,0.0224127846,137.01,3.070775618046,5.7,0.538732564569474,0.482741078241392,0.102754978046671
SH032(2) #1,0.219074229,0.0219074229,199.5,4.37053086855,8.3,0.526569984162651,,
SH032(2) #2,0.229365991,0.0229365991,156.25,3.583843609375,6.5,0.551360555288462,,
SH032(2) #3,0.204418216,0.0204418216,127.4,2.60428807184,5.3,0.49137510789434,0.523101882448484,0.017402914237689
SH035(1) #1,0.228064222339738,0.022806422233974,127.4,2.90553819260826,5.3,0.548214753322314,,
SH035(1) #2,0.41519698572184,0.041519698572184,69.7,2.89392299048123,2.9,0.997904479476285,,
SH035(1) #3,0.29266701921382,0.029266701921382,103.3,3.02325030847876,4.3,0.703081467088084,0.749733566628894,0.131893298093298
SH035(2) #1,0.239408895939832,0.023940889593983,153.8,3.68210881955461,6.4,0.575329503055409,,
SH035(2) #2,0.257478406486868,0.025747840648687,156.25,4.02310010135731,6.5,0.618938477131894,,
SH035(2) #3,0.165720665138962,0.016572066513896,88.94,1.47391959574593,3.7,0.3983566474989,0.530874875895401,0.067444412414994
SH037(1) #1,0.221406910494394,0.02214069104944,117.78,2.60773059180298,4.9,0.532189916694485,,
SH037(1) #2,0.232608895423635,0.023260889542364,144.23,3.35491809869509,6,0.559153016449182,,
SH037(1) #3,0.330041965325001,0.0330041965325,98.55,3.25256356827789,4.1,0.793308187384851,0.628217040176173,0.082911734899437
SH038(1) #1,0.358639615799275,0.035863961579928,127.4,4.56906870528276,5.3,0.862088434959012,,
SH038(1) #2,0.41062922669803,0.041062922669803,141.82,5.82354369303146,5.9,0.987041303903638,,
SH038(1) #3,0.389131872978536,0.038913187297854,105.76,4.11545868862099,4.4,0.935331520141135,0.928153753001261,0.036248885593026
SH038(2) #1,0.332296873468587,0.033229687346859,293.26,9.7449381113398,12.2,0.798765418962278,,
SH038(2) #2,0.329790257767324,0.032979025776732,156.25,5.15297277761443,6.5,0.792765042709912,,
SH038(2) #3,0.506015387631089,0.050601538763109,225.96,11.4339236989121,9.4,1.21637486158639,0.935968441086194,0.140213909940126
SH039(1) #1,0.599389885327844,0.059938988532785,105.7,6.33555108791532,4.4,1.43989797452621,,
SH039(1) #2,0.636707340978144,0.063670734097814,170.6,10.8622272370871,7.1,1.52989116015312,,
SH039(1) #3,0.360685582671763,0.036068558267176,93.75,3.38142733754778,3.9,0.867032650653277,1.27894059511087,0.207585973671374
SH039(2) #1,0.443891502499265,0.044389150249927,173.07,7.68243023375477,7.2,1.06700419913261,,
SH039(2) #2,0.377687934921102,0.03776879349211,153.84,5.81035119082623,6.4,0.907867373566598,,
SH039(2) #3,0.490632657061649,0.049063265706165,112.98,5.54316775948251,4.7,1.17939739563458,1.05142298944459,0.078770169464854
SH040(1) #1 ,0.20924805378627,0.020924805378627,98.55,2.06213957006369,4.1,0.502960870747243,,
SH040(1) #2,0.243398796886058,0.024339879688606,93.75,2.28186372080679,3.9,0.585093261745332,,
SH040(1) #3,0.262163835810333,0.026216383581033,81.73,2.14266503007785,3.4,0.63019559708172,0.572749909858098,0.037244407402147
SH040(2) #1,0.283533262561925,0.028353326256193,213.94,6.06591061924982,8.9,0.681562990926946,,
SH040(2) #2,0.374718683651805,0.037471868365181,129.81,4.86422323248408,5.4,0.900782080089643,,
SH040(2) #3,0.330065463552725,0.033006546355273,163.81,5.40680235845718,6.8,0.795117993890762,0.792487688302451,0.063296764382672
SH041(1) #1,0.260765292374023,0.026076529237402,156.25,4.07445769334411,6.5,0.626839645129863,,
SH041(1) #2,0.21197405397082,0.021197405397082,163.46,3.46492788620703,6.8,0.509548218559858,,
SH041(1) #3,0.345873272510298,0.03458732725103,201.92,6.98387311852793,8.4,0.83141346649142,0.655933776727047,0.094046373005657
SH041(2) #1,0.212322439080725,0.021232243908073,237.9,5.05115082573046,9.9,0.510217255124289,,
SH041(2) #2,0.24001809292836,0.024001809292836,100.96,2.42322266620472,4.2,0.576957777667791,,
SH041(2) #3,0.44776148131039,0.044776148131039,127.4,5.70448127189437,5.3,1.07631722111215,0.721164084634741,0.178618669329989
SH043(1) #1,0.275732378642645,0.027573237864265,98.55,2.71734259152327,4.1,0.662766485737383,,
SH043(1) #2,0.252182700080841,0.025218270008084,117.7,2.9681903799515,4.9,0.605753138765612,,
SH043(1) #3,0.288079839858336,0.028807983985834,108.17,3.11615962774762,4.5,0.69247991727725,0.653666513926748,0.025445960013117
SH043(2) #1,0.526125033683643,0.052612503368364,310.09,16.3146111694961,12.9,1.26469854027102,,
SH043(2) #2,0.418277707202525,0.041827770720253,204.32,8.546250113562,8.5,1.00544118983082,,
SH043(2) #3,0.229676252069138,0.022967625206914,288.46,6.62524116718636,12,0.552103430598863,0.940747720233567,0.208236149070044
SH045(1) #1 ,0.322682747642953,0.032268274764295,110.58,3.56822582343578,4.6,0.7757012659643,,
SH045(1) #2 ,0.237084200644872,0.023708420064487,153.84,3.6473033427207,6.4,0.56989114730011,,
SH045(1) #3,0.30863230072242,0.030863230072242,120.19,3.70945162238276,5,0.741890324476552,0.695827579246987,0.063720178932854
SH045(2) #1,0.196553201910126,0.019655320191013,120.19,2.36237293375781,5,0.472474586751561,,
SH045(2) #2,0.225684665932003,0.0225684665932,144.23,3.25504993673728,6,0.542508322789546,,
SH045(2) #3,0.285265907513979,0.028526590751398,125,3.56582384392474,5.2,0.685735354600911,0.566906088047339,0.062760064234364
SH046(1) #1 ,0.272311334231256,0.027231133423126,43.2,1.17638496387903,1.8,0.653547202155014,,
SH046(1) #2 ,0.22059711848496,0.022059711848496,93.75,2.0680979857965,3.9,0.530281534819615,,
SH046(1) #3 ,0.268003346802171,0.026800334680217,96.15,2.57685217950288,4,0.644213044875719,0.609347260616783,0.039624585675661
SH046(2) #1 ,0.356391575854047,0.035639157585405,84.13,2.9983223276601,3.5,0.856663522188599,,
SH046(2) #2,0.206638504550835,0.020663850455084,125,2.58298130688543,5.2,0.496727174401045,,
SH046(2) #3,0.26211991347292,0.026211991347292,84.13,2.20521483204767,3.5,0.630061380585049,0.661150692391564,0.10506101813726
SH047(1) #1,0.323103479603889,0.032310347960389,79.33,2.56317990369765,3.3,0.776721182938682,,
SH047(1) #2 ,0.287255837194513,0.028725583719451,76.92,2.20957189970019,3.2,0.69049121865631,,
SH047(1) #3,0.373416916507677,0.037341691650768,60.09,2.24386225129463,2.5,0.897544900517852,0.788252434037614,0.060048686100072
SH047(2) #1,0.221990551467248,0.022199055146725,103.37,2.29471633051695,4.3,0.533654960585336,,
SH047(2) #2,0.448873444171891,0.044887344417189,36.06,1.61863763968384,1.5,1.07909175978923,,
SH047(2) #3,0.298678113927501,0.02986781139275,60.1,1.79505546470428,2.5,0.718022185881712,0.776922968752091,0.160184583266205
SH048(1) #1,0.285654583446897,0.02856545834469,115.38,3.2958825838103,4.8,0.68664220496048,,
SH048(1) #2,0.527189515762696,0.05271895157627,57.69,3.041356316435,2.4,1.26723179851458,,
SH048(1) #3,0.354024711547197,0.03540247115472,62.5,2.21265444716998,2.6,0.851020941219224,0.934964981564762,0.172777333069647
SH048(2) #1,0.278774870536931,0.027877487053693,117.79,3.28368920005451,4.9,0.670140653072349,,
SH048(2) #2,0.590946670300718,0.059094667030072,100.96,5.96619758335605,4.2,1.42052323413239,,
SH048(2) #3,0.236858362859998,0.023685836286,91.35,2.16370114472608,3.5,0.618200327064595,0.902954738089778,0.259218254525864
SH049(1) #1,0.351647458628842,0.035164745862884,62.5,2.19779661643026,2.6,0.845306390934715,,
SH049(1) #2,0.435521941489362,0.043552194148936,55.2,2.40408111702128,2.3,1.04525265957447,,
SH049(1) #3,0.270329122340426,0.027032912234043,50.48,1.36462140957447,2.1,0.649819718844985,0.846792923118056,0.114154077145673
SH049(2) #1,0.35252382535461,0.035252382535461,64.9,2.28787962655142,2.7,0.847362824648674,,
SH049(2) #2,0.207127290189125,0.020712729018913,72.11,1.49359488955378,3,0.497864963184594,,
SH049(2) #3,0.3883606678487,0.03883606678487,55.28,2.14685777186761,2.3,0.933416422551136,0.759548070128135,0.133178879422512
SH051(1) #1,0.211251039068994,0.021125103906899,79.32,1.67564324189526,3.3,0.5077706793622,,
SH051(1) #2,0.262896924355777,0.026289692435578,103.37,2.71756550706567,4.3,0.631991978387365,,
SH051(1) #3,0.271922277639235,0.027192227763924,67.31,1.83030885078969,2.8,0.65368173242489,0.597814796724818,0.045455357811307
SH051(2) #1,0.391076475477972,0.039107647547797,96.15,3.7602003117207,4,0.940050077930175,,
SH051(2) #2,0.418848711554447,0.041884871155445,86.54,3.62471674979219,3.6,1.00686576383116,,
SH051(2) #3,0.326072319201995,0.0326072319202,98.56,3.21376877805486,4.1,0.783846043428015,0.910253961729784,0.066081528754624
SH052(1) #1,0.141606400665004,0.014160640066501,45.67,0.646716431837074,1.9,0.340377069387934,,
SH052(1) #2,0.348233582709892,0.034823358270989,55.29,1.92538347880299,2.3,0.837123251653476,,
SH052(1) #3,0.240980881130507,0.024098088113051,72.12,1.73795411471322,3,0.579318038237739,0.585606119759716,0.143432733799701
SH052(2) #1,0.407130091438071,0.040713009143807,60.1,2.44685184954281,2.5,0.978740739817124,,
SH052(2) #2,0.277470906068163,0.027747090606816,64.9,1.80078618038238,2.7,0.666957844586066,,
SH052(2) #3,0.350029093931837,0.035002909393184,57.69,2.01931784289277,2.4,0.841382434538653,0.829027006313947,0.090215733835858
SH053(1) #1,0.225163561076604,0.022516356107661,74.5,1.6774685300207,3.1,0.54111888065184,,
SH053(1) #2,0.46367701863354,0.046367701863354,63.3,2.93507552795031,2.8,1.04824125998225,,
SH053(1) #3,0.244753623188406,0.024475362318841,45.7,1.11852405797101,1.9,0.588696872616323,0.726019004416805,0.161695498614017
SH053(2) #1,0.296190476190476,0.029619047619048,112.9,3.34399047619047,4.7,0.711487335359675,,
SH053(2) #2,0.252927536231884,0.025292753623188,100.9,2.55203884057971,4.2,0.607628295376121,,
SH053(2) #3,0.344026915113872,0.034402691511387,127.4,4.38290289855073,5.3,0.826962811047307,0.715359480594368,0.063346014272716
SH053(1) #1,0.202494456762749,0.020249445676275,108.2,2.19099002217295,4.5,0.486886671593989,,
SH053(1) #2,0.254270702786079,0.025427070278608,62.7,1.59427730646872,2.9,0.54975079533404,,
SH053(1) #3,0.23668659018606,0.023668659018606,108.2,2.56094890581317,4.5,0.569099756847371,0.535245741258466,0.024816293653038
SH053(2) #1,0.199583052154632,0.019958305215463,173.1,3.45478263279668,7.2,0.479830921221762,,
SH053(2) #2,0.26146727079919,0.026146727079919,100.9,2.63820476236383,4.2,0.628143991039007,,
SH053(2) #3,0.232690639159356,0.023269063915936,132.2,3.07617024968669,5.5,0.559303681761216,0.555759531340661,0.04285095261993
SH055(1) #1,0.231695086894028,0.023169508689403,52.8,1.22335005880047,2.2,0.556068208545668,,
SH055(1) #2,0.134726577812623,0.013472657781262,129.8,1.74875098000784,5.4,0.323842774075526,,
SH055(1) #3,0.19077975957141,0.019077975957141,96.2,1.83530128707696,4,0.458825321769241,0.446245434796812,0.067332145049476
SH055(2) #1,0.232534626943682,0.023253462694368,192.3,4.47164087612701,8,0.558955109515876,,
SH055(2) #2,0.231572585914021,0.023157258591402,156.25,3.61832165490657,6.5,0.556664869985627,0.524815100423581,0.033001512411874
SH057(1) #1,0.28426,0.028426,98.55,2.8013823,4.1,0.683263975609756,,
SH057(1) #2,0.287395,0.0287395,110.5,3.17571475,4.6,0.690372771739131,,
SH057(1) #3,0.373151666666667,0.037315166666667,91.35,3.408740475,3.8,0.897036967105263,0.756891238151383,0.070102907104754
SH057(2) #1,0.238525,0.0238525,115.4,2.7525785,4.8,0.573453854166667,,
SH057(2) #2,0.276313333333333,0.027631333333333,98.6,2.72444946666667,4.1,0.664499869918699,,
SH057(2) #3,0.2909,0.02909,113,3.28717,4.7,0.699397872340425,0.645783865475264,0.037541934531858
SH059(1) #1,0.269476666666667,0.026947666666667,100.9,2.71901956666667,4.2,0.647385611111111,,
